date,open,high,low,close,volume,amount_change,percent_change
2012-05-08,605.53,616.9,600.7,612.79,2677300,7.26,1.19895
2012-05-07,595,610.57,595,607.55,1994500,12.55,2.10924
2012-05-04,605.92,607.89,596.81,596.97,2207400,-8.95,-1.47709
2012-05-03,609.62,614.83,608.95,611.02,1868000,1.4,0.229651
2012-05-02,601.2,608.11,600.61,607.26,1611500,6.06,1.00798
2012-05-01,603.79,611.6,600.19,604.43,2002300,0.64,0.105997
2012-04-30,612.99,616.08,600.61,604.85,2407300,-8.14,-1.32792
2012-04-27,615.02,616.74,610.6,614.98,1636400,-0.04,-0.00650385
2012-04-26,610.91,618,609.7,615.47,2092500,4.56,0.746427
2012-04-25,604,611.35,602.88,609.72,1821100,5.72,0.94702
2012-04-24,598.24,606.63,597.32,601.27,1929100,3.03,0.506486
2012-04-23,592.9,598.45,590.2,597.6,2197800,4.7,0.792714
2012-04-20,604.25,608.85,595.83,596.06,3058400,-8.19,-1.3554
2012-04-19,605.69,616.26,599,599.3,3294600,-6.39,-1.055
2012-04-18,608.05,612.8,602.81,607.45,2669500,-0.6,-0.0986761
2012-04-17,608.56,617.69,607.01,609.57,3023900,1.01,0.165966
2012-04-16,623,623.81,601.66,606.07,5692100,-16.93,-2.7175
2012-04-13,647.55,648.99,623.54,624.6,8159300,-22.95,-3.54413
2012-04-12,642.35,653.14,640.26,651.01,5756600,8.66,1.34817
2012-04-11,633.97,636,631.3,635.96,2199000,1.99,0.313895
2012-04-10,633.52,634.5,624.55,626.86,2482000,-6.66,-1.05127
2012-04-09,628.48,635.33,625.29,630.84,2182700,2.36,0.375509
2012-04-05,632.24,636.43,628.57,632.32,2318700,0.08,0.0126534
2012-04-04,638.45,639,631.1,635.15,1627600,-3.3,-0.516877
2012-04-03,645.41,647.95,638.64,642.62,2044900,-2.79,-0.432283
2012-04-02,640.77,647.5,634.84,646.92,2284200,6.15,0.959783
2012-03-30,651.75,653.49,641,641.24,2310700,-10.51,-1.61258
2012-03-29,653.44,656.59,644.3,648.41,1924300,-5.03,-0.769772
2012-03-28,652.03,658.59,651.08,655.76,2538900,3.73,0.57206
2012-03-27,647.03,653.5,644.8,647.02,2007200,-0.01,-0.00154552
2012-03-26,645,649.49,639.54,649.33,1819200,4.33,0.671318
2012-03-23,646.6,648.5,640.9,642.59,1940200,-4.01,-0.620167
2012-03-22,638.5,648.8,631,646.05,2410200,7.55,1.18246
2012-03-21,634.61,647.39,632.51,639.98,2469600,5.37,0.846189
2012-03-20,630.92,636.06,627.27,633.49,1540500,2.57,0.407342
2012-03-19,623.12,637.27,621.24,633.98,2172800,10.86,1.74284
2012-03-16,620.89,625.91,620.05,625.04,3050500,4.15,0.668395
2012-03-15,616.6,623.5,614.83,621.13,2435100,4.53,0.734674
2012-03-14,615,622.78,613.46,615.99,2936900,0.99,0.160976
2012-03-13,608.75,617.85,605.55,617.78,2245800,9.03,1.48337
2012-03-12,600,607,599.26,605.15,1669000,5.15,0.858333
2012-03-09,607.95,611.9,600,600.25,2670600,-7.7,-1.26655
2012-03-08,610.04,611.5,606.35,607.14,1345500,-2.9,-0.475379
2012-03-07,609.05,611.19,605.86,606.8,1264500,-2.25,-0.369428
2012-03-06,608.05,608.81,593.84,604.96,3174400,-3.09,-0.508182
2012-03-05,620.43,622.49,611.38,614.25,1593300,-6.18,-0.996083
